,Bexar,Dallas
rising sum,164.0,204.0
falling sum,29.0,70.0
r_soci_rise sum,138.0,157.0
r_comp_rise sum,107.0,133.0
r_status_rise sum,188.0,282.0
r_trans_rise sum,92.0,128.0
r_soci_fall sum,47.0,102.0
r_comp_fall sum,83.0,146.0
r_status_fall sum,3.0,2.0
r_trans_fall sum,73.0,121.0
num_tracts,362.0,527.0
rising_pct,0.4530386740331492,0.3870967741935484
falling_pct,0.08011049723756906,0.13282732447817835
r_soci_rise_pct,0.3812154696132597,0.29791271347248577
r_comp_rise_pct,0.2955801104972376,0.2523719165085389
r_status_rise_pct,0.5193370165745856,0.5351043643263758
r_trans_rise_pct,0.2541436464088398,0.2428842504743833
r_soci_fall_pct,0.1298342541436464,0.1935483870967742
r_comp_fall_pct,0.2292817679558011,0.27703984819734345
r_status_fall_pct,0.008287292817679558,0.003795066413662239
r_trans_fall_pct,0.20165745856353592,0.22960151802656548
