tract,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
48007950100,78382,1.00,0.99,1.00,1.00
48007950100,78358,0.00,0.01,0.00,0.00
48007950200,78382,1.00,1.00,1.00,1.00
48007950300,78382,0.63,0.64,0.99,0.63
48007950300,78381,0.37,0.36,0.01,0.37
48007950400,78382,1.00,1.00,1.00,1.00
48007950500,78336,0.53,0.68,0.42,0.53
48007950500,78382,0.46,0.31,0.58,0.45
48007950500,78390,0.01,0.01,0.00,0.01
48013960100,78064,0.89,0.93,0.91,0.89
48013960100,78113,0.06,0.05,0.05,0.06
48013960100,78114,0.03,0.00,0.04,0.03
48013960100,78008,0.01,0.01,0.00,0.01
48013960100,78118,0.00,0.01,0.00,0.00
48013960100,78264,0.00,0.00,0.00,0.00
48013960100,78050,0.00,0.00,0.00,0.00
48013960201,78052,0.63,0.88,0.67,0.64
48013960201,78069,0.19,0.07,0.13,0.18
48013960201,78065,0.15,0.05,0.20,0.15
48013960201,78005,0.03,0.00,0.00,0.03
48013960201,78002,0.00,0.00,0.00,0.00
48013960202,78065,0.67,0.78,0.40,0.67
48013960202,78069,0.19,0.11,0.48,0.20
48013960202,78073,0.13,0.11,0.12,0.13
48013960202,78064,0.00,0.00,0.00,0.00
48013960202,78005,0.00,0.00,0.00,0.00
48013960202,78011,0.00,0.00,0.00,0.00
48013960202,78026,0.00,0.00,0.00,0.00
48013960300,78065,0.97,0.98,1.00,0.97
48013960300,78012,0.03,0.02,0.00,0.03
48013960401,78264,0.70,0.89,0.57,0.71
48013960401,78065,0.27,0.00,0.43,0.27
48013960401,78064,0.03,0.11,0.00,0.03
48013960402,78064,0.99,1.00,0.99,0.99
48013960402,78026,0.00,0.00,0.01,0.00
48013960402,78065,0.00,0.00,0.00,0.00
48013960500,78011,0.51,0.71,1.00,0.52
48013960500,78026,0.44,0.29,0.00,0.43
48013960500,78005,0.05,0.00,0.00,0.05
48013960500,78065,0.00,0.00,0.00,0.00
48013960600,78026,0.91,0.98,0.96,0.91
48013960600,78064,0.07,0.02,0.01,0.06
48013960600,78065,0.02,0.00,0.03,0.02
48013960600,78021,0.00,0.00,0.00,0.00
48015760300,78933,0.07,0.01,0.00,0.06
48015760400,78950,0.40,0.45,0.40,0.40
48015760400,78944,0.11,0.17,0.00,0.11
48015760400,78933,0.09,0.07,0.60,0.09
48015760400,78940,0.05,0.10,0.00,0.05
48015760400,78931,0.04,0.05,0.00,0.04
48015760400,78954,0.02,0.00,0.00,0.02
48019000101,78003,0.91,0.95,0.83,0.92
48019000101,78063,0.08,0.05,0.17,0.08
48019000101,78883,0.00,0.00,0.00,0.00
48019000102,78003,0.74,0.66,0.79,0.74
48019000102,78063,0.26,0.34,0.21,0.26
48019000200,78055,0.65,0.73,0.78,0.66
48019000200,78884,0.13,0.00,0.11,0.12
48019000200,78883,0.11,0.13,0.06,0.11
48019000200,78003,0.06,0.03,0.00,0.06
48019000200,78885,0.05,0.13,0.06,0.06
48019000300,78063,0.72,0.85,0.87,0.73
48019000300,78003,0.25,0.14,0.13,0.25
48019000300,78023,0.02,0.01,0.00,0.02
48019000300,78010,0.00,0.00,0.00,0.00
48019000400,78063,1.00,1.00,1.00,1.00
48021950100,78621,0.85,0.79,0.86,0.85
48021950100,78650,0.12,0.13,0.09,0.12
48021950100,78602,0.02,0.08,0.02,0.02
48021950100,78653,0.01,0.00,0.02,0.01
48021950100,78659,0.00,0.00,0.01,0.00
48021950200,78621,1.00,1.00,1.00,1.00
48021950300,78612,0.51,0.38,0.59,0.50
48021950300,78602,0.48,0.62,0.39,0.48
48021950300,78662,0.01,0.00,0.01,0.01
48021950300,78953,0.00,0.00,0.00,0.00
48021950400,78602,1.00,1.00,1.00,1.00
48021950501,78602,0.95,0.88,0.93,0.95
48021950501,78650,0.04,0.01,0.07,0.04
48021950501,78621,0.00,0.11,0.00,0.00
48021950501,78659,0.00,0.00,0.00,0.00
48021950502,78602,0.52,0.65,0.43,0.51
48021950502,78659,0.39,0.23,0.38,0.39
48021950502,78957,0.07,0.11,0.09,0.07
48021950502,78650,0.02,0.01,0.10,0.02
48021950600,78957,0.79,0.76,0.77,0.79
48021950600,78953,0.13,0.22,0.11,0.13
48021950600,78941,0.02,0.00,0.01,0.02
48021950600,78959,0.01,0.02,0.06,0.02
48021950600,78942,0.02,0.00,0.03,0.02
48021950600,78662,0.01,0.00,0.03,0.01
48021950600,78659,0.00,0.00,0.00,0.00
48021950600,78602,0.00,0.00,0.00,0.00
48021950700,78957,1.00,1.00,1.00,1.00
48021950801,78612,0.52,0.50,0.48,0.51
48021950801,78617,0.43,0.45,0.42,0.43
48021950801,78662,0.03,0.02,0.05,0.04
48021950801,78602,0.02,0.00,0.05,0.02
48021950801,78616,0.00,0.02,0.00,0.00
48021950802,78616,0.33,0.23,0.39,0.33
48021950802,78612,0.31,0.30,0.33,0.31
48021950802,78662,0.25,0.47,0.27,0.25
48021950802,78617,0.11,0.00,0.01,0.10
48021950802,78602,0.00,0.00,0.00,0.00
48025950100,78119,0.59,0.00,0.00,0.54
48025950100,78102,0.24,0.00,0.00,0.22
48025950100,78071,0.10,0.00,0.00,0.09
48025950100,78146,0.03,0.17,0.00,0.04
48025950100,78162,0.01,0.33,0.00,0.04
48025950100,78142,0.03,0.17,0.00,0.04
48025950100,78145,0.00,0.17,0.00,0.01
48025950100,78125,0.00,0.17,0.00,0.01
48025950201,78102,0.92,1.00,1.00,0.92
48025950201,78389,0.08,0.00,0.00,0.08
48025950202,78102,1.00,1.00,1.00,1.00
48025950202,78368,0.00,0.00,0.00,0.00
48025950202,78389,0.00,0.00,0.00,0.00
48025950300,78102,1.00,1.00,1.00,1.00
48025950400,78104,0.64,0.42,0.06,0.59
48025950400,78102,0.36,0.58,0.94,0.41
48025950500,78102,1.00,1.00,1.00,1.00
48025950600,78389,0.65,0.50,1.00,0.64
48025950600,78387,0.25,0.20,0.00,0.24
48025950600,78102,0.06,0.00,0.00,0.06
48025950600,78391,0.04,0.30,0.00,0.05
48025950600,78368,0.00,0.00,0.00,0.00
48029110100,78205,0.39,0.66,0.64,0.52
48029110100,78207,0.16,0.07,0.09,0.12
48029110100,78215,0.07,0.06,0.11,0.06
48029110100,78204,0.05,0.03,0.06,0.04
48029110100,78294,0.04,0.02,0.01,0.03
48029110100,78297,0.04,0.02,0.01,0.03
