zipcode,county,population,covid_count_median,cases_per_100K,,,,,,,,,,,
75203,Dallas,15721,616,3918,,,,,,,,,,,median
75204,Dallas,26279,1846,7025,,,,,,,,1 - 1274    ,1,1274,637.5
75205,Dallas,23061,1846,8005,,,,,,,,1275 - 2547,1275,2547,1911
75206,Dallas,36248,1846,5093,,,,,,,,2548 - 3821,2548,3821,3184.5
75208,Dallas,30171,1846,6118,,,,,,,,3822 - 5094,3822,5094,4458
75209,Dallas,13653,616,4512,,,,,,,,5095 - 6368,5095,6368,5731.5
75210,Dallas,7482,616,8233,,,,,,,,,,,
75211,Dallas,73146,5535,7567,,,,,,,,,,,
75212,Dallas,24884,1846,7418,,,,,,,,,,,
75214,Dallas,32950,1846,5602,,,,,,,,,,,
75215,Dallas,14648,616,4205,,,,,,,,,,,
75216,Dallas,49416,3075,6223,,,,,,,,,,,
75217,Dallas,80324,5535,6891,,,,,,,,,,,
75218,Dallas,21665,616,2843,,,,,,,,,,,
75219,Dallas,22124,1846,8344,,,,,,,,,,,
75220,Dallas,41891,1846,4407,,,,,,,,,,,
75223,Dallas,13947,616,4417,,,,,,,,,,,
75224,Dallas,34034,3075,9035,,,,,,,,,,,
75225,Dallas,20892,616,2948,,,,,,,,,,,
75226,Dallas,3506,616,17570,,,,,,,,,,,
75227,Dallas,55029,4305,7823,,,,,,,,,,,
75228,Dallas,66551,4305,6469,,,,,,,,,,,
75229,Dallas,31571,1846,5847,,,,,,,,,,,
75230,Dallas,26934,616,2287,,,,,,,,,,,
75231,Dallas,37052,1846,4982,,,,,,,,,,,
75232,Dallas,28682,1846,6436,,,,,,,,,,,
75234,Dallas,28794,1846,6411,,,,,,,,,,,
75235,Dallas,17177,1846,10747,,,,,,,,,,,
75236,Dallas,15949,616,3862,,,,,,,,,,,
75237,Dallas,17101,616,3602,,,,,,,,,,,
75238,Dallas,30483,1846,6056,,,,,,,,,,,
75240,Dallas,24296,1846,7598,,,,,,,,,,,
75241,Dallas,27066,1846,6820,,,,,,,,,,,
75243,Dallas,55406,1846,3332,,,,,,,,,,,
75244,Dallas,13266,616,4643,,,,,,,,,,,
75246,Dallas,2770,616,22238,,,,,,,,,,,
75247,Dallas,468,616,131624,,,,,,,,,,,
75248,Dallas,33395,616,1845,,,,,,,,,,,
75249,Dallas,13373,616,4606,,,,,,,,,,,
75251,Dallas,2331,616,26426,,,,,,,,,,,
75252,Dallas,24112,616,2555,,,,,,,,,,,
75253,Dallas,18450,1846,10005,,,,,,,,,,,
75254,Dallas,23253,616,2649,,,,,,,,,,,
75001,,,,,,,,,,,,,,,
75006,,,,,,,,,,,,,,,
75019,,,,,,,,,,,,,,,
75030,,,,,,,,,,,,,,,
75038,,,,,,,,,,,,,,,
75039,,,,,,,,,,,,,,,
75040,,,,,,,,,,,,,,,
75041,,,,,,,,,,,,,,,
75042,,,,,,,,,,,,,,,
75043,,,,,,,,,,,,,,,
75044,,,,,,,,,,,,,,,
75045,,,,,,,,,,,,,,,
75046,,,,,,,,,,,,,,,
75047,,,,,,,,,,,,,,,
75048,,,,,,,,,,,,,,,
75050,,,,,,,,,,,,,,,
75051,,,,,,,,,,,,,,,
75052,,,,,,,,,,,,,,,
75053,,,,,,,,,,,,,,,
75060,,,,,,,,,,,,,,,
75061,,,,,,,,,,,,,,,
75062,,,,,,,,,,,,,,,
75063,,,,,,,,,,,,,,,
75067,,,,,,,,,,,,,,,
75080,,,,,,,,,,,,,,,
75081,,,,,,,,,,,,,,,
75083,,,,,,,,,,,,,,,
75088,,,,,,,,,,,,,,,
75089,,,,,,,,,,,,,,,
75099,,,,,,,,,,,,,,,
75104,,,,,,,,,,,,,,,
75106,,,,,,,,,,,,,,,
75115,,,,,,,,,,,,,,,
75116,,,,,,,,,,,,,,,
75123,,,,,,,,,,,,,,,
75134,,,,,,,,,,,,,,,
75137,,,,,,,,,,,,,,,
75141,,,,,,,,,,,,,,,
75146,,,,,,,,,,,,,,,
75149,,,,,,,,,,,,,,,
75150,,,,,,,,,,,,,,,
75154,,,,,,,,,,,,,,,
75159,,,,,,,,,,,,,,,
75180,,,,,,,,,,,,,,,
75181,,,,,,,,,,,,,,,
75182,,,,,,,,,,,,,,,
75185,,,,,,,,,,,,,,,
75201,,,,,,,,,,,,,,,
75207,,,,,,,,,,,,,,,
75250,,,,,,,,,,,,,,,
75260,,,,,,,,,,,,,,,
75261,,,,,,,,,,,,,,,
75270,,,,,,,,,,,,,,,
75287,,,,,,,,,,,,,,,
75339,,,,,,,,,,,,,,,
75357,,,,,,,,,,,,,,,
75372,,,,,,,,,,,,,,,
75374,,,,,,,,,,,,,,,
75390,,,,,,,,,,,,,,,
75398,,,,,,,,,,,,,,,
76051,,,,,,,,,,,,,,,
76065,,,,,,,,,,,,,,,
