zipcode,county,population,covid_count_median,cases_per_100K
75254,Dallas,23253,616,2649
75253,Dallas,18450,1846,10005
75252,Dallas,24112,616,2555
75251,Dallas,2331,616,26426
75249,Dallas,13373,616,4606
75248,Dallas,33395,616,1845
75247,Dallas,468,616,131624
75246,Dallas,2770,616,22238
75244,Dallas,13266,616,4643
75243,Dallas,55406,1846,3332
75241,Dallas,27066,1846,6820
75240,Dallas,24296,1846,7598
75238,Dallas,30483,1846,6056
75237,Dallas,17101,616,3602
75236,Dallas,15949,616,3862
75235,Dallas,17177,1846,10747
75234,Dallas,28794,1846,6411
75232,Dallas,28682,1846,6436
75231,Dallas,37052,1846,4982
75230,Dallas,26934,616,2287
75229,Dallas,31571,1846,5847
75228,Dallas,66551,4305,6469
75227,Dallas,55029,4305,7823
75226,Dallas,3506,616,17570
75225,Dallas,20892,616,2948
75224,Dallas,34034,3075,9035
75223,Dallas,13947,616,4417
75220,Dallas,41891,1846,4407
75219,Dallas,22124,1846,8344
75218,Dallas,21665,616,2843
75217,Dallas,80324,5535,6891
75216,Dallas,49416,3075,6223
75215,Dallas,14648,616,4205
75214,Dallas,32950,1846,5602
75212,Dallas,24884,1846,7418
75211,Dallas,73146,5535,7567
75210,Dallas,7482,616,8233
75209,Dallas,13653,616,4512
75208,Dallas,30171,1846,6118
75206,Dallas,36248,1846,5093
75205,Dallas,23061,1846,8005
75204,Dallas,26279,1846,7025
75203,Dallas,15721,616,3918
