ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
48,TEXAS,TX,48029,Bexar,48029110100,"Census Tract 1101, Bexar County, Texas",1.364296436,3102,365,2447,76,1655,198,513,178,64,57,38914,6410,569,202,499,128,153,117,453,131,55,35,2103,409,305,160,2028,201,0,13,64,60,370,119,744,158,20.8,7.4,4.1,3.7,38914,6410,20.4,6.8,16.1,4.1,4.9,3.7,18.8,5.6,3.3,2.1,67.8,10.5,10,5.1,82.9,7.8,0,1.6,3.9,3.7,22.4,7,24,4.2,0.6942,0.3715,0.1945,0.6358,1.896,0.4675,0.7179,0.0132,0.8648,0.1056,1.7015,0.3001,0.6044,0.7318,1.3362,0.6804,0.9914,0,0.5134,0.977,0.9744,3.4562,0.9242,8.3899,0.6503,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,272,130,11.3,5,38328
48,TEXAS,TX,48029,Bexar,48029110300,"Census Tract 1103, Bexar County, Texas",0.598443814,3023,309,1613,48,1437,105,1057,375,194,146,27693,7327,465,193,398,95,731,99,593,184,192,59,2517,343,164,114,701,163,0,13,0,18,408,127,0,13,35.1,12,12.7,8.8,27693,7327,22.1,7.5,13.2,2.7,24.2,2.1,19.6,5.7,13.4,4,83.3,7.5,5.8,4,43.5,10,0,2.4,0,1.3,28.4,7.9,0,0.4,0.911,0.9533,0.4339,0.6656,2.9638,0.8027,0.5629,0.4086,0.8901,0.7184,2.58,0.827,0.7515,0.5872,1.3387,0.6819,0.908,0,0,0.9896,0,1.8976,0.3276,8.7801,0.6978,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,606,206,20,5.7,9202
48,TEXAS,TX,48029,Bexar,48029110500,"Census Tract 1105, Bexar County, Texas",0.448809984,2388,243,862,34,780,48,1623,251,201,86,7778,1105,670,164,245,42,1018,174,546,129,315,55,2329,245,292,142,164,47,0,13,39,34,424,87,0,13,68,7.8,27.1,9.2,7778,1105,56.6,8.9,10.3,2.1,42.6,5.9,22.9,5.5,40.4,6.6,97.5,2.6,15,7.1,19,5.4,0,4.5,5,4.4,54.4,10,0,0.5,0.9973,0.9987,0.9939,0.9879,3.9778,0.9998,0.3739,0.996,0.9571,0.9987,3.3257,0.9954,0.9461,0.8269,1.773,0.9124,0.7471,0,0.6046,0.9998,0,2.3515,0.5222,11.428,0.977,1,1,1,1,4,0,1,1,1,3,1,0,1,0,0,0,1,0,1,9,465,125,19.5,4.4,2044
48,TEXAS,TX,48029,Bexar,48029110600,"Census Tract 1106, Bexar County, Texas",0.758136374,5301,486,1424,68,1303,88,1441,387,127,99,11484,1420,1866,249,755,107,642,245,851,171,192,91,4711,519,558,198,607,124,10,16,46,43,554,117,2607,239,51.1,12.1,11.5,7.6,11484,1420,45.5,5.1,14.2,2.3,12.1,4.5,30.2,5.9,14.7,6.9,88.9,5.4,10.9,3.8,42.6,8.5,0.7,1.1,3.5,3.3,42.5,8.6,49.2,6.4,0.9868,0.9324,0.9667,0.9411,3.827,0.9919,0.6188,0.0411,0.9948,0.772,2.4267,0.7585,0.8125,0.7534,1.5659,0.7988,0.9053,0.4364,0.4744,0.9981,0.9891,3.8033,0.9776,11.6229,0.9841,1,1,1,1,4,0,0,1,0,1,0,0,0,1,0,0,1,1,3,8,690,265,24.5,7.4,6776
48,TEXAS,TX,48029,Bexar,48029110700,"Census Tract 1107, Bexar County, Texas",0.379005059,1114,208,673,37,562,61,376,112,29,33,14076,2416,295,96,292,69,285,121,215,60,57,41,1014,222,196,92,230,63,0,13,58,48,287,73,0,13,33.8,11.4,7.8,8.4,14076,2416,40.1,12.2,26.2,8.1,25.6,9.8,19.3,6.8,10.1,7.2,91,10.4,19,8.2,34.2,9.2,0,5.8,10.3,8.5,51.1,11.3,0,1.2,0.8999,0.779,0.9022,0.8994,3.4805,0.9399,0.966,0.4964,0.8799,0.5358,2.8781,0.9351,0.841,0.8759,1.7169,0.8822,0.8671,0,0.8646,0.9994,0,2.7311,0.6906,10.8066,0.9378,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,251,128,22.5,8.8,3716
48,TEXAS,TX,48029,Bexar,48029110800,"Census Tract 1108, Bexar County, Texas",0.495817517,1905,271,1127,49,844,91,432,134,115,68,20209,3911,281,98,406,81,254,120,303,127,66,42,1374,288,76,62,326,80,23,36,18,21,240,57,250,92,26.4,8.1,12.1,6.8,20209,3911,19.2,6.4,21.3,4.6,13.3,6,18.2,7,7.8,5,72.1,11.2,4.1,3.3,28.9,7,2,3.2,2.1,2.5,28.4,6,13.1,4.5,0.8046,0.9435,0.6973,0.6088,3.0542,0.829,0.8992,0.0501,0.8466,0.3885,2.1844,0.606,0.6461,0.4966,1.1427,0.5891,0.8324,0.5613,0.3129,0.9896,0.96,3.6562,0.9607,10.0375,0.8642,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,412,118,24.7,5.9,7440
48,TEXAS,TX,48029,Bexar,48029110900,"Census Tract 1109, Bexar County, Texas",0.485322878,1498,149,1020,43,910,74,207,88,13,14,71018,13983,84,49,112,52,83,57,138,48,8,17,703,194,112,91,755,87,0,13,23,26,125,61,70,28,13.8,5.8,1.2,1.3,71018,13983,6.6,3.9,7.5,3.6,5.5,3.8,9.5,3.2,0.9,1.9,46.9,12.1,7.6,6.1,74,7.9,0,3.8,2.5,2.9,13.7,6.5,4.7,1.8,0.4893,0.04,0.0343,0.2295,0.7931,0.1382,0.1901,0.0147,0.3346,0.0184,0.5578,0.0222,0.4109,0.659,1.0699,0.552,0.983,0,0.3659,0.9004,0.9168,3.1661,0.8502,5.5869,0.2694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,208,116,14.3,7.8,5497
48,TEXAS,TX,48029,Bexar,48029111000,"Census Tract 1110, Bexar County, Texas",0.599800577,2933,378,1419,52,1166,90,603,176,64,38,26790,5425,591,133,347,96,488,177,617,197,99,52,2316,403,256,107,583,115,0,13,37,30,186,59,151,87,21.5,5.9,4.2,2.4,26790,5425,29.6,5.7,11.8,3,16.6,5.6,22,5.9,8.5,4.5,79,9.3,9.1,3.6,41.1,8,0,2.8,3.2,2.6,16,4.9,5.1,2.9,0.7105,0.3845,0.4643,0.7877,2.347,0.612,0.4803,0.0943,0.9441,0.4363,1.955,0.448,0.71,0.7062,1.4162,0.7194,0.8994,0,0.444,0.9319,0.9218,3.1971,0.8588,8.9153,0.7151,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,3,526,166,18.8,5,4093
48,TEXAS,TX,48029,Bexar,48029120100,"Census Tract 1201, Bexar County, Texas",5.190720925,5289,561,958,93,921,90,239,150,40,31,18364,2205,26,31,20,31,2097,199,244,113,93,48,2747,640,42,72,16,30,7,11,0,26,24,26,1348,492,6.1,3.8,4.5,3.5,18364,2205,1.3,1.6,0.4,0.6,39.6,5.6,7.2,3.2,10.1,5.2,51.9,10.8,0.9,1.6,1.7,3.2,0.7,1.1,0,2.9,2.6,2.8,25.5,8.9,0.1921,0.4242,0.7609,0.0333,1.4105,0.3155,0.0069,0.9902,0.1657,0.5358,1.6986,0.299,0.4608,0.1536,0.6144,0.2978,0.3564,0.4364,0,0.3399,0.9765,2.1092,0.4197,5.8327,0.3032,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,23,25,0.7,0.7,8843
48,TEXAS,TX,48029,Bexar,48029120300,"Census Tract 1203, Bexar County, Texas",1.841380284,8193,23,3703,235,3151,200,380,162,162,96,90546,16912,173,93,1321,200,2024,220,995,278,238,135,2308,548,33,86,374,182,51,83,11,25,85,66,85,33,4.7,2,3.8,2.3,90546,16912,3.1,1.7,16.1,2.4,24.7,2.7,12.3,3.4,7.6,4.3,28.2,6.7,0.4,1.1,10.1,4.9,1.4,2.2,0.3,0.8,2.7,2.1,1,0.4,0.1348,0.3319,0.0134,0.1004,0.5805,0.0783,0.7179,0.4413,0.5376,0.377,2.0738,0.534,0.1951,0.0769,0.272,0.1102,0.6245,0.5149,0.0954,0.3533,0.749,2.3371,0.5156,5.2634,0.2291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,194,3.2,2.4,7963
