,tract,rising,falling,delta,mean,r_soci_rise,r_comp_rise,r_status_rise,r_trans_rise,r_soci_fall,r_comp_fall,r_status_fall,r_trans_fall
40,48001950500,0,0,0.08289999999999997,0.8522333333333334,0,0,1,0,0,0,0,0
41,48001950600,0,0,0.06630000000000003,0.642,0,0,1,0,0,0,0,0
42,48001950800,1,0,0.19490000000000002,0.5270333333333334,1,0,1,0,0,0,0,1
43,48003950100,0,0,0.123,0.2187,0,0,0,0,0,1,0,1
44,48003950200,1,0,0.3256,0.5350666666666667,1,0,1,1,0,1,0,0
45,48005000102,0,1,-0.10170000000000001,0.3732333333333333,0,0,0,0,1,0,0,0
46,48005000500,1,0,0.09939999999999993,0.8782666666666668,1,0,0,0,0,0,0,1
47,48005000800,1,0,0.13119999999999998,0.7316333333333334,0,1,1,1,1,0,0,0
48,48005000901,1,0,0.195,0.4428666666666667,1,0,1,0,0,0,0,0
49,48007950100,0,0,0.2404,0.45039999999999997,0,0,1,0,0,0,0,0
50,48007950200,1,0,0.06140000000000001,0.09806666666666668,0,0,1,1,0,1,0,0
51,48007950300,0,0,0.21889999999999998,0.5805666666666667,0,0,0,0,0,0,0,0
52,48007950400,1,0,0.12290000000000001,0.9086,0,0,1,1,0,0,0,0
53,48009020100,0,0,-0.0019000000000000128,0.11009999999999999,0,0,0,1,1,0,0,0
54,48009020200,0,0,0.08310000000000001,0.2741,1,0,0,0,0,0,0,1
55,48009020300,0,0,0.15450000000000003,0.519,0,0,1,0,0,0,0,0
56,48011950100,0,0,0.09569999999999995,0.3319,0,1,0,1,0,0,0,0
57,48013960300,0,1,-0.06969999999999998,0.8921666666666668,1,0,0,0,0,1,0,1
58,48013960402,0,0,0.0806,0.5803333333333334,0,0,1,1,0,0,0,0
59,48015760200,1,0,0.16270000000000007,0.6089333333333333,0,0,1,1,0,0,0,0
60,48015760400,0,0,0.08029999999999998,0.36976666666666663,0,0,1,0,0,1,0,1
61,48015760501,1,0,0.1578,0.35300000000000004,1,1,1,0,0,0,0,0
62,48017950100,1,0,0.09729999999999994,0.8084000000000001,0,0,1,0,0,0,0,0
63,48019000400,0,0,-0.09610000000000002,0.3075333333333334,0,0,0,0,0,1,0,1
64,48021950700,0,0,0.02210000000000001,0.6586333333333334,0,0,0,1,0,0,0,0
65,48023950300,0,0,0.0368,0.3324,0,0,0,0,0,0,0,0
66,48025950300,1,0,0.2782,0.7931666666666667,1,1,1,1,0,0,0,0
67,48025950500,0,0,0.052999999999999936,0.8759666666666667,0,0,0,0,0,0,0,0
68,48027020100,1,0,0.31589999999999996,0.3187666666666667,0,1,0,1,0,0,0,0
69,48027020201,1,0,0.0006000000000000172,0.14123333333333332,0,0,0,0,0,0,0,0
70,48027020202,0,0,0.1048,0.33526666666666666,0,0,1,1,0,0,0,0
71,48027020300,0,0,0.02310000000000001,0.28106666666666663,0,0,1,0,0,0,0,0
72,48027020401,1,0,0.3962,0.7539666666666666,1,1,1,1,0,0,0,0
73,48027020402,1,0,0.13390000000000002,0.8419666666666666,1,1,1,0,0,0,0,1
74,48027020500,1,0,0.2742,0.4955,1,1,1,0,0,0,0,0
75,48027020600,0,0,0.08109999999999995,0.5068,1,0,1,0,0,0,0,1
76,48027020800,1,0,0.07240000000000002,0.9585666666666667,1,1,1,0,0,0,0,0
77,48027021000,1,0,0.1975,0.8421,1,1,0,1,0,0,0,0
78,48027021100,1,0,0.118,0.6791333333333335,1,0,0,0,0,0,0,0
79,48027021202,1,0,0.34,0.5950000000000001,1,0,1,1,0,0,0,0
80,48027021203,1,0,0.2481,0.5145333333333334,1,1,0,0,0,0,0,0
81,48027021301,1,0,0.2568,0.3176666666666667,1,1,1,1,0,0,0,0
82,48027021302,1,0,0.2203,0.22446666666666668,1,1,1,1,0,0,0,0
83,48027021303,0,0,-0.005699999999999927,0.5367666666666667,0,1,1,0,1,0,0,0
84,48027021400,1,0,0.27349999999999997,0.4181333333333333,1,1,0,1,0,0,0,0
85,48027021500,1,0,0.24619999999999997,0.7654,0,0,1,0,0,0,0,0
86,48027021700,0,0,0.1452,0.44229999999999997,0,0,0,0,0,0,0,0
87,48027021903,0,0,0.01970000000000005,0.2566,0,0,0,1,0,0,0,0
88,48027021904,1,0,0.1557,0.32943333333333336,1,0,1,0,0,1,0,0
89,48027022101,0,0,0.04420000000000002,0.6799000000000001,0,0,0,0,0,1,0,0
90,48027022103,1,0,0.35489999999999994,0.3696333333333333,1,1,1,0,0,0,0,0
91,48027022104,0,0,0.14459999999999995,0.6232000000000001,1,0,1,1,0,0,0,0
92,48027022105,1,0,0.268,0.3912,1,1,1,1,0,0,0,0
93,48027022200,1,0,0.20119999999999993,0.7650333333333333,0,0,0,0,0,0,0,0
94,48027022300,1,0,0.2734,0.7662333333333332,1,1,0,1,0,0,0,0
95,48027022401,1,0,0.2814,0.6879666666666666,1,0,1,1,0,1,0,0
96,48027022402,1,0,0.18319999999999997,0.1804,0,1,1,0,0,0,0,0
97,48027022403,1,0,0.1901,0.3203,1,1,1,0,0,0,0,0
98,48027022404,0,0,0.19240000000000007,0.4598,0,0,1,0,0,0,0,0
99,48027022405,1,0,0.3767,0.3442,1,0,1,1,0,0,0,0
100,48027022501,1,0,0.3259,0.42523333333333335,1,1,0,1,0,0,0,0
101,48027022502,1,0,0.22580000000000006,0.4662,0,1,1,0,0,0,0,0
102,48027022600,1,0,0.24409999999999998,0.7981000000000001,1,1,0,1,0,0,0,0
103,48027023000,1,0,0.28269999999999995,0.5172666666666667,1,1,1,0,0,0,0,0
104,48027023103,0,0,0.18099999999999994,0.5642333333333333,1,0,0,0,0,0,0,0
105,48027023104,1,0,0.39760000000000006,0.44943333333333335,1,1,1,1,0,0,0,0
106,48027023105,0,0,0.15050000000000002,0.30560000000000004,1,0,1,0,0,0,0,0
107,48027023106,0,0,-0.04630000000000001,0.37766666666666665,0,1,0,0,0,0,0,1
108,48027023107,1,0,0.29910000000000003,0.5292666666666667,1,0,0,1,0,0,0,0
109,48027023108,0,0,0.0,0.4800333333333333,1,0,1,0,0,0,0,1
110,48027023201,0,0,0.009500000000000008,0.18900000000000003,0,0,1,0,0,1,0,0
111,48027023203,1,0,0.22709999999999997,0.2855333333333333,1,0,0,1,0,0,0,0
112,48027023300,1,0,0.16799999999999998,0.22879999999999998,1,0,0,1,0,0,0,0
113,48027023402,1,0,0.25029999999999997,0.41883333333333334,1,1,0,1,0,0,0,0
114,48027023403,1,0,0.17070000000000002,0.2044,0,1,0,1,1,0,0,0
115,48027023404,1,0,0.07520000000000004,0.40326666666666666,0,0,1,0,0,1,0,0
116,48029120300,1,0,0.11739999999999998,0.24570000000000003,0,0,0,1,1,0,0,0
117,48029120400,0,0,-0.0015000000000000013,0.12236666666666667,0,0,0,0,1,0,0,0
118,48029120501,0,0,0.0524,0.8535666666666666,0,0,1,0,0,1,0,0
119,48029120600,0,0,0.05459999999999998,0.4594666666666667,1,0,1,0,0,0,0,0
120,48029120800,0,0,-0.027999999999999997,0.1464,0,0,0,0,0,0,0,0
121,48029120902,1,0,0.18289999999999995,0.6153,1,0,0,0,0,0,0,0
122,48029121000,0,0,0.26980000000000004,0.5503,1,0,0,0,0,0,0,0
123,48029121108,1,0,0.05509999999999998,0.23236666666666664,0,0,1,0,0,0,0,0
124,48029121110,0,0,0.11359999999999998,0.08956666666666667,0,0,1,0,0,0,0,0
125,48029121111,1,0,0.37909999999999994,0.585,1,1,0,1,0,0,0,0
126,48029121112,1,0,0.06319999999999998,0.5114,1,0,1,0,0,1,0,1
127,48029121115,0,0,0.12630000000000002,0.19249999999999998,1,0,1,0,0,0,0,0
128,48029121116,0,0,0.05199999999999999,0.506,0,1,1,0,1,0,0,1
129,48029121117,1,0,0.2607,0.27563333333333334,0,1,1,0,0,0,0,0
130,48029121118,1,0,0.0706,0.18543333333333334,0,0,1,1,0,1,0,0
131,48029121119,1,0,0.2145,0.3107666666666667,1,0,0,1,0,0,0,0
132,48029121120,0,0,0.04459999999999999,0.10176666666666667,0,0,1,0,1,0,0,0
133,48029121121,0,1,-0.02919999999999999,0.08879999999999999,0,0,1,0,0,1,0,0
134,48029121122,0,0,0.1431,0.1575,1,0,0,0,0,0,0,0
135,48029121203,0,0,-0.02839999999999998,0.6293,0,0,1,0,0,1,0,0
136,48029121205,0,0,0.042200000000000015,0.7494999999999999,0,0,1,1,0,1,0,0
137,48029121206,0,0,0.17969999999999997,0.5764333333333334,0,1,0,1,0,0,0,0
138,48029121300,1,0,0.3083,0.5320666666666667,0,1,1,1,0,0,0,0
139,48029121402,1,0,0.07040000000000002,0.5851333333333333,0,0,1,0,0,1,0,0
140,48029121403,0,0,0.019199999999999995,0.8530333333333333,0,0,1,0,0,0,0,0
141,48029121501,1,0,0.41809999999999997,0.4016333333333333,1,1,0,0,0,0,0,0
142,48029121504,1,0,0.10720000000000007,0.5523666666666667,1,0,0,1,0,0,0,0
143,48029121505,1,0,0.4558,0.4969333333333334,1,0,0,1,0,0,0,0
144,48029121506,1,0,0.1704,0.7528333333333332,0,1,1,0,0,0,0,0
145,48029121507,0,0,0.10210000000000008,0.6083,0,0,0,1,0,1,0,0
146,48029121508,0,0,0.0043999999999999595,0.8341,0,0,1,0,0,1,0,1
147,48029121601,1,0,0.2674,0.5707000000000001,1,1,0,0,0,0,0,0
148,48029121604,1,0,0.14350000000000002,0.37420000000000003,1,0,1,0,0,1,0,0
149,48029121605,0,0,-0.017900000000000027,0.3011,1,1,0,0,0,0,0,1
150,48029121606,0,0,0.005699999999999983,0.2701,0,0,0,0,0,1,0,0
151,48029121701,0,0,0.27570000000000006,0.6004333333333333,0,0,1,0,0,0,0,0
152,48029121702,0,0,-0.024899999999999978,0.35539999999999994,0,1,1,0,1,0,0,1
153,48029121802,0,0,0.12149999999999994,0.5001666666666665,1,0,0,0,0,1,0,0
154,48029121803,0,0,-0.044499999999999984,0.39206666666666673,0,0,0,0,0,0,0,0
155,48029121804,0,1,-0.03320000000000001,0.6010666666666667,0,0,1,0,0,1,0,1
156,48029121808,1,0,0.06130000000000002,0.32103333333333334,0,1,0,0,1,0,0,1
157,48029121809,0,0,0.1306,0.3621666666666667,0,0,0,0,0,0,0,0
158,48029121810,1,0,0.12560000000000002,0.1798666666666667,1,0,1,0,0,0,0,0
159,48029121811,1,0,0.0841,0.09050000000000001,0,0,0,1,0,1,0,0
160,48029121812,0,0,0.062299999999999967,0.3341,0,0,0,1,0,1,0,0
161,48029121813,1,0,0.1434,0.24976666666666666,0,0,1,0,0,0,0,0
162,48029121903,1,0,0.11730000000000002,0.06630000000000001,1,0,1,1,0,1,0,0
163,48029121904,0,1,-0.0274,0.03373333333333334,0,0,1,0,0,0,0,1
164,48029121905,1,0,0.058700000000000016,0.09063333333333334,0,1,0,1,0,0,0,0
165,48029121906,0,0,-0.026400000000000007,0.21436666666666668,0,0,1,0,0,0,0,0
166,48029121907,1,0,0.0556,0.09400000000000001,1,1,0,0,0,0,0,0
167,48029121908,0,0,-0.008100000000000003,0.08473333333333333,0,0,1,0,0,0,0,0
168,48029121909,0,0,0.05629999999999996,0.33,0,1,0,0,0,0,0,0
169,48029121910,1,0,0.1628,0.14426666666666668,0,1,0,1,1,0,0,0
170,48029130200,0,0,0.06479999999999997,0.7809666666666667,0,0,0,0,0,0,1,0
171,48029130300,0,1,-0.09759999999999991,0.8813333333333334,0,0,1,0,1,1,0,0
172,48029130401,1,0,0.08109999999999995,0.8885333333333333,1,1,1,0,0,0,0,1
173,48029130700,1,0,0.23260000000000003,0.8821666666666667,0,1,0,1,0,0,0,0
174,48029130900,0,0,0.02970000000000006,0.9156666666666666,0,0,1,0,1,1,0,0
175,48029131000,1,0,0.1078,0.9479666666666667,1,1,1,1,0,0,0,0
176,48029131100,0,0,0.027899999999999925,0.9175,0,0,0,0,0,0,0,0
177,48029131200,1,0,0.18299999999999994,0.7957666666666666,1,0,1,0,0,0,0,0
178,48029131300,0,0,0.05930000000000002,0.7333000000000002,0,1,0,0,1,0,0,0
179,48029131402,1,0,0.10930000000000006,0.8174,0,1,1,0,0,0,0,1
180,48029131503,0,1,-0.11879999999999996,0.3665333333333334,0,0,1,0,1,0,0,0
181,48029131504,1,0,0.17899999999999994,0.7305666666666667,1,0,0,0,0,0,0,0
182,48029131505,0,0,0.21230000000000004,0.5308666666666667,0,1,0,0,0,0,0,0
183,48029131506,0,0,-0.04529999999999995,0.4761666666666667,0,0,1,0,0,1,0,0
184,48029131507,0,0,0.029000000000000026,0.7939666666666666,0,0,0,0,0,0,0,0
185,48029131601,0,1,-0.12310000000000004,0.4120333333333333,0,0,0,0,1,1,0,0
186,48029131606,0,0,0.048900000000000055,0.5298666666666666,1,0,1,0,0,0,0,1
187,48029131608,0,0,0.08150000000000002,0.543,0,1,1,0,0,0,0,0
188,48029131609,0,0,-0.06350000000000011,0.5935,0,0,0,0,0,0,0,0
189,48029131610,1,0,0.0983,0.39559999999999995,1,0,1,0,0,0,0,0
190,48029131611,0,0,0.04910000000000003,0.4001333333333333,1,0,0,0,0,1,0,0
191,48029131612,0,0,0.03880000000000003,0.20753333333333335,0,0,0,1,0,0,0,0
192,48029131613,0,0,0.04099999999999998,0.3957,0,0,1,0,0,0,0,0
193,48029131615,0,0,0.06009999999999999,0.4469666666666667,0,0,0,0,0,0,0,0
194,48029131700,0,0,0.10509999999999997,0.2547,0,0,1,0,0,0,0,0
195,48029131801,0,0,0.010099999999999998,0.15426666666666666,0,0,1,1,0,1,0,0
196,48029140100,0,0,-0.021299999999999986,0.6691333333333334,0,0,0,0,0,0,0,0
197,48029140200,1,0,0.024700000000000055,0.8256,1,0,0,0,0,0,0,1
198,48029140400,0,1,-0.09360000000000002,0.7000666666666667,0,0,0,0,0,0,0,1
199,48029140500,0,0,0.13430000000000009,0.646,1,0,0,0,0,0,0,0
200,48029140600,0,1,-0.05920000000000003,0.8982333333333333,0,0,1,0,0,1,0,1
201,48029140700,0,0,0.009600000000000053,0.6631333333333332,0,0,0,1,0,1,0,0
202,48029140900,0,0,-0.0050000000000000044,0.7522666666666668,1,0,1,0,0,1,0,0
203,48029141200,1,0,0.11980000000000002,0.8511333333333333,0,1,1,0,0,0,0,0
204,48029141300,0,0,0.09189999999999998,0.8010333333333334,1,1,1,0,0,0,0,0
205,48029141402,1,0,0.16499999999999998,0.5262,0,0,0,0,0,0,0,0
206,48029141403,0,0,0.18920000000000003,0.6551333333333332,0,0,0,0,0,0,0,0
207,48029141404,1,0,0.13749999999999996,0.8218,0,1,1,0,0,0,0,0
208,48029141600,1,0,0.21200000000000002,0.5651333333333334,1,0,1,0,0,0,0,0
209,48029150501,1,0,0.013699999999999934,0.8962,0,1,1,0,1,0,0,1
210,48029150600,1,0,0.08600000000000008,0.8702666666666666,1,0,0,0,0,0,0,0
211,48029150700,0,0,0.027700000000000058,0.8850666666666666,0,1,0,1,0,0,0,0
212,48029150900,1,0,0.10519999999999996,0.8069666666666667,0,1,1,0,0,0,0,0
213,48029151200,0,0,0.0404000000000001,0.9423333333333334,0,1,0,1,0,0,0,0
214,48029151302,0,0,0.06979999999999997,0.9226333333333333,0,1,1,0,0,0,0,1
215,48029151600,1,0,0.17300000000000004,0.8617333333333334,0,1,1,1,0,0,0,0
216,48029151700,1,0,0.1813999999999999,0.7750666666666667,0,1,0,1,0,0,0,0
217,48029151900,1,0,0.07920000000000005,0.9113000000000001,0,0,1,0,0,0,0,0
218,48029160100,1,0,0.007500000000000062,0.9941,1,0,0,1,0,0,0,0
219,48029160200,0,0,0.02300000000000002,0.7191666666666667,0,0,1,0,0,1,0,1
220,48029160300,1,0,0.19800000000000006,0.6661666666666667,1,1,0,0,0,0,0,0
221,48029160400,1,0,0.09719999999999995,0.9013666666666666,1,0,0,1,0,0,0,0
222,48029160701,0,0,0.008000000000000007,0.797,1,1,1,0,0,0,0,0
223,48029160901,0,0,0.022199999999999998,0.9058,0,0,0,0,0,0,0,0
224,48029161100,1,0,0.10149999999999992,0.8174666666666667,0,1,0,0,0,0,0,0
225,48029161200,1,0,0.026000000000000023,0.9058333333333333,0,0,1,0,0,0,0,1
226,48029161501,1,0,0.18100000000000005,0.8333,0,0,1,1,0,0,0,0
227,48029161600,1,0,0.13039999999999996,0.8279000000000001,0,0,1,1,0,0,0,0
228,48029161801,0,0,0.08850000000000002,0.7062333333333334,1,0,0,0,0,0,0,1
229,48029170102,0,1,-0.01770000000000005,0.7849,0,0,0,0,1,1,0,0
230,48029170500,1,0,0.15589999999999993,0.8827666666666666,0,0,0,1,0,0,0,0
231,48029170600,1,0,0.06030000000000002,0.8507333333333333,0,0,1,1,0,1,0,0
232,48029170700,0,0,0.055300000000000016,0.9306333333333333,1,0,1,0,0,1,0,0
233,48029170900,0,0,0.03249999999999997,0.9664,0,1,1,0,0,0,0,0
234,48029171100,0,1,-0.08860000000000001,0.9445333333333333,0,0,1,0,0,1,0,1
235,48029171200,0,1,-0.06359999999999999,0.9225,0,0,0,0,1,0,0,1
236,48029171301,1,0,0.05719999999999992,0.9643666666666667,1,0,0,1,0,0,0,0
237,48029171501,0,0,0.0011999999999999789,0.9441,0,0,1,0,0,1,0,0
238,48029171502,0,0,0.005299999999999971,0.9484,1,0,0,0,0,1,0,0
239,48029171601,1,0,0.10149999999999992,0.8024,0,1,1,1,0,0,0,0
240,48029171700,1,0,0.11319999999999997,0.8853,1,0,1,0,0,0,0,0
241,48029171801,0,0,0.0665,0.8706333333333333,1,0,1,1,0,0,0,0
242,48029171802,0,0,0.015499999999999958,0.9861000000000001,0,0,0,0,0,0,0,0
243,48029171903,0,0,0.00029999999999996696,0.7916666666666666,1,1,0,0,0,0,0,1
244,48029171912,1,0,0.3257,0.22236666666666668,1,1,1,1,0,0,0,0
245,48029171913,0,0,0.06310000000000004,0.7577999999999999,0,0,0,0,0,0,0,0
246,48029171914,0,0,-0.05219999999999997,0.4846,0,0,1,0,0,0,0,0
247,48029171915,1,0,0.18410000000000004,0.5736333333333333,1,0,1,0,0,0,0,0
248,48029171916,0,0,-0.006699999999999984,0.4007666666666667,0,0,1,0,0,0,0,0
249,48029171917,0,0,0.14200000000000002,0.22486666666666666,0,0,1,1,0,0,0,0
250,48029171918,0,0,0.1386,0.30746666666666667,0,0,0,0,0,0,0,0
251,48029171920,0,0,0.09740000000000004,0.5136,1,0,1,0,0,1,0,1
252,48029171921,1,0,0.20450000000000002,0.48183333333333334,1,1,0,0,0,0,0,0
253,48029171922,1,0,0.06680000000000003,0.3412,0,1,0,1,0,0,0,0
254,48029171923,1,0,0.05750000000000005,0.4080333333333333,1,0,0,0,0,0,0,1
255,48029171925,1,0,0.3207,0.44766666666666666,1,1,0,0,0,0,0,0
256,48029172002,0,0,0.11420000000000008,0.6030333333333333,0,0,1,0,0,0,0,0
257,48029172003,1,0,0.11010000000000003,0.2997,0,1,1,0,0,0,0,0
258,48029172004,1,0,0.10549999999999998,0.2633333333333333,1,0,1,0,0,0,0,0
259,48029172005,1,0,0.2917,0.2849333333333333,1,1,1,0,0,0,0,0
260,48029172006,1,0,0.2092,0.21723333333333336,1,0,1,0,0,0,0,0
261,48029172007,1,0,0.21409999999999996,0.20203333333333331,0,0,1,1,0,0,0,0
262,48029180101,0,0,0.038000000000000034,0.5478,0,0,0,0,0,0,0,0
263,48029180102,0,0,0.0928,0.4359,0,0,0,0,1,0,0,0
264,48029180201,0,0,0.11650000000000005,0.8897333333333334,0,0,0,1,0,0,0,0
265,48029180202,0,0,0.22150000000000003,0.8130000000000001,0,1,1,0,0,0,0,0
266,48029180400,0,0,0.053200000000000025,0.9132666666666666,0,0,0,0,0,1,0,0
267,48029180503,1,0,0.1058,0.61,1,0,0,0,0,0,0,0
268,48029180504,0,0,0.05679999999999996,0.8323,0,0,0,0,0,0,0,0
269,48029180603,0,0,-0.02629999999999999,0.6511333333333332,0,0,1,0,0,1,0,0
270,48029180901,0,0,0.026699999999999946,0.6734,0,0,0,0,0,0,0,0
271,48029180902,1,0,0.16470000000000007,0.7789333333333334,0,1,1,1,0,0,0,0
272,48029181001,1,0,0.05910000000000004,0.8160666666666666,0,0,0,0,0,0,0,1
273,48029181100,0,0,0.25479999999999997,0.4785333333333333,0,1,0,1,0,0,0,0
274,48029181200,0,0,-0.028100000000000014,0.1449666666666667,0,0,0,0,0,0,0,1
275,48029181301,1,0,0.13140000000000002,0.3643666666666667,1,0,1,0,0,0,0,0
276,48029181505,1,0,0.22480000000000003,0.3027,1,0,0,1,0,0,0,0
277,48029181506,1,0,0.2662,0.7070666666666666,1,0,0,1,0,0,0,0
278,48029181601,1,0,0.2681,0.6109666666666667,1,1,0,0,0,0,0,0
279,48029181602,0,0,0.06899999999999995,0.8388,0,0,1,0,0,0,0,0
280,48029181703,1,0,0.1889,0.42429999999999995,1,0,0,1,0,1,0,0
281,48029181704,1,0,0.3067,0.7639,1,1,1,0,0,0,0,0
282,48029181711,1,0,0.239,0.3089666666666666,1,0,1,1,0,0,0,0
283,48029181712,0,0,0.2661,0.513,1,1,1,0,0,0,0,0
284,48029181713,1,0,0.2383,0.5780333333333333,1,0,0,1,0,0,0,0
285,48029181715,0,0,-0.03969999999999996,0.3697,0,0,0,0,0,1,0,1
286,48029181716,0,0,0.02479999999999999,0.46849999999999997,0,0,0,0,0,0,0,1
287,48029181718,0,0,-0.0693,0.17946666666666666,0,1,1,0,0,0,0,1
288,48029181720,1,0,0.0199,0.057100000000000005,1,0,1,0,0,0,0,1
289,48029181721,0,0,-0.03419999999999998,0.17636666666666667,0,1,0,0,1,0,0,1
290,48029181722,0,0,0.07350000000000001,0.21956666666666666,0,1,1,0,0,0,0,0
291,48029181723,0,1,-0.09639999999999999,0.28776666666666667,0,0,0,0,0,0,0,0
292,48029181724,1,0,0.06699999999999998,0.24493333333333334,0,1,1,0,0,0,0,0
293,48029181725,1,0,0.14249999999999996,0.5148333333333333,0,0,0,0,0,0,0,1
294,48029181726,1,0,0.32720000000000005,0.2929,1,1,1,0,0,0,0,0
295,48029181727,0,0,-0.025400000000000034,0.4898666666666667,0,0,0,0,0,1,0,0
296,48029181728,1,0,0.2763,0.5072,1,0,1,1,0,0,0,0
297,48029181729,1,0,0.18700000000000003,0.19016666666666668,0,1,0,1,0,0,0,0
298,48029181730,1,0,0.20939999999999998,0.28150000000000003,1,0,1,1,0,0,0,0
299,48029181731,0,0,0.11160000000000003,0.2876,1,1,0,0,0,0,0,0
300,48029181809,1,0,0.10949999999999993,0.68,1,0,1,0,0,0,0,0
301,48029181811,1,0,0.1619,0.3285,1,1,0,0,0,0,0,0
302,48029181815,1,0,0.09649999999999997,0.2623333333333333,1,0,1,0,0,0,0,1
303,48029181816,1,0,0.1008,0.23326666666666665,1,0,1,0,0,0,0,0
304,48029181817,0,0,0.09839999999999993,0.6197333333333334,1,0,0,0,0,0,0,1
305,48029181818,0,1,-0.28790000000000004,0.5471333333333334,0,0,1,0,1,1,0,1
306,48029181819,1,0,0.2095999999999999,0.5985333333333334,1,0,0,0,0,1,0,1
307,48029181821,1,0,0.20560000000000006,0.5079333333333333,1,1,0,0,0,0,0,0
308,48029181822,0,0,0.2508,0.2326,1,0,1,0,0,0,0,0
309,48029181823,1,0,0.0734,0.11423333333333334,1,0,1,0,0,0,0,0
310,48029181824,0,0,0.09200000000000003,0.29683333333333334,1,0,0,0,0,1,0,0
311,48029181825,1,0,0.1679,0.19896666666666665,1,0,1,0,0,0,0,0
312,48029181826,1,0,0.14720000000000003,0.19053333333333333,1,0,1,0,0,1,0,0
313,48029181902,0,0,0.03169999999999999,0.08839999999999999,0,0,0,0,1,0,0,1
314,48029182001,1,0,0.09640000000000001,0.12426666666666668,1,1,1,0,0,0,0,0
315,48029182002,1,0,0.08660000000000001,0.19533333333333333,1,1,1,0,0,0,0,1
316,48029182003,1,0,0.133,0.13786666666666667,0,1,1,1,0,0,0,0
317,48029182101,0,0,-0.016600000000000004,0.047099999999999996,1,1,1,0,0,0,0,1
318,48029182102,0,0,0.0059000000000000025,0.12346666666666667,0,0,1,0,0,0,0,0
319,48029182103,1,0,0.1618,0.16519999999999999,1,1,0,0,0,0,0,0
320,48029182105,1,0,0.0291,0.09299999999999999,1,0,1,0,0,0,0,0
321,48029182106,0,1,-0.1027,0.0812,0,0,1,0,0,1,0,1
322,48029190501,0,0,0.25289999999999996,0.5605,1,0,1,0,0,0,0,0
323,48029190503,0,0,0.05169999999999997,0.525,0,0,0,0,0,0,0,1
324,48029190504,0,1,-0.15610000000000002,0.7313000000000001,0,0,0,0,0,1,0,1
325,48029190603,0,0,0.11160000000000003,0.6529333333333333,0,0,1,0,0,1,0,0
326,48029190700,1,0,0.17889999999999995,0.6896666666666667,1,0,1,1,0,0,0,0
327,48029190800,0,0,0.063,0.05356666666666667,1,0,0,0,0,0,0,0
328,48029190902,0,0,0.0013999999999999568,0.48080000000000006,0,0,0,0,1,1,0,0
